Tombo;local_num;Localidade;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
53061;;MonteAlegre;9;16;10;12;10;16;253;6;7;49;10;2;14;20;7;13;89;21;16;10;NA;0;1;1;2;0;0;0;0
53073;;MonteAlegre;9;15;10;10;8;16;NA;NA;NA;NA;NA;NA;NA;NA;6;13;NA;20;15;8;12;0;1;1;0;0;0;0;0
53063;;MonteAlegre;10;15;9;10;8;16;234;6;3;40;10;5;14;NA;5;12;NA;21;15;6;NA;0;1;1;2;0;0;0;0
53069;;MonteAlegre;10;15;9;8;8;16;NA;4;5;NA;NA;NA;14;21;7;13;NA;21;15;11;NA;0;1;1;0;0;0;1;0
53064;;MonteAlegre;9;16;10;10;8;17;282;6;5;37;9;5;14;21;9;11;88;20;15;6;13;0;1;0;2;0;0;0;0
53079;;MonteAlegre;9;15;9;11;9;NA;NA;4;4;NA;NA;NA;NA;NA;6;14;NA;17;16;8;NA;0;1;0;NA;NA;0;0;0
53053;;MonteAlegre;10;14;9;10;8;15;255;NA;NA;40;12;4;14;21;7;12;87;20;16;NA;NA;0;1;1;2;0;0;0;NA
53072;;MonteAlegre;9;16;11;10;8;16;230;NA;3;40;11;4;14;NA;6;12;NA;19;14;7;NA;0;1;1;2;0;0;0;0
53081;;MonteAlegre;11;16;9;10;8;15;NA;6;4;NA;NA;5;13;21;8;12;89;20;15;7;NA;0;1;1;2;0;0;0;0
53067;;MonteAlegre;9;15;11;10;9;15;NA;4;3;NA;9;5;14;NA;6;12;88;19;15;6;12;0;1;1;2;0;0;0;0
53070;;MonteAlegre;10;17;10;10;10;16;255;NA;NA;36;10;5;14;20;6;13;86;21;16;NA;NA;0;1;0;2;1;0;0;NA
53056;;MonteAlegre;10;16;11;10;8;13;NA;NA;NA;NA;NA;5;14;NA;7;13;NA;21;14;NA;NA;0;2;0;2;0;0;0;NA
